,train,val,test
0,1508560G-N,407984J,522963
1,1512129I-N,407984-T-N,P001210190K
2,1713372B,1632152C,210190
3,1713372E,1735362J-Y,210190A
4,1713372F,1946957B-Y,210190C
5,P001713372B,1813872A,210190D
6,225841-N-N,1813872B,210190F
7,225841-L-N,1813872C,210190G
8,1625960A,1813872D,210190H
9,1625960B,1813872E,210190I
10,1625960C,3maintenance10-P001813872B,210190M
11,1625960D,421183F.,210190N
12,1625960F,1736414F,210190O
13,1625960G,,210190P
14,1625960H,,210190Q
15,1625960I,,210190S
16,1625960J,,210190U
17,1625960L,,210190V
18,P001625960G,,210190Y
19,411477-A-N,,1935769C-Y
20,411477-A-N-1,,120099
21,223338G,,200099-H-Y
22,223338-F-N,,200099-O-Y
23,1902979C-N,,1801211-B-Y
24,1949160-C-N,,1801211 B-Y
25,1949160-A-N,,1801211-C-Y
26,902765,,2013094B-Y
27,902765C,,2-1613704B
28,P000902765B,,
29,312402Q,,
30,312402,,
31,312402A,,
32,312402B,,
33,312402C,,
34,312402D,,
35,312402E,,
36,312402F,,
37,312402G,,
38,312402H,,
39,312402N,,
40,312402O,,
41,312402P,,
42,312402V,,
43,312402R,,
44,312402S,,
45,312402T,,
46,1822186A,,
47,109418-X-N,,
48,109418-E-N,,
49,109418-G-N,,
50,1902079B-N,,
51,201611-F-N,,
52,201611G-N,,
53,1707649A,,
54,1707649C,,
55,1707649D,,
56,1707649E,,
57,1707649F,,
58,1707649G,,
59,P001707649A,,
60,1229332C-N,,
61,1325470C-N,,
62,1431983H-1-N,,
63,1431983H-2-N,,
64,1613742F,,
65,1525978,,
66,1525978A,,
67,1525978B,,
68,1525978C,,
69,1525978D,,
70,1525978E,,
71,1525978G,,
72,1525978O,,
73,1525978R,,
74,1525978S,,
75,1525978T,,
76,1525978U,,
77,1525978V,,
78,1525978X,,
79,1525978Z4,,
80,1525978Z6,,
81,1525978Z7,,
82,1525978Z8,,
83,1525978Z99,,
84,P00181928C,,
85,1810938E-N,,
86,1810938D-N,,
87,1810938E-1-N,,
88,1922917A-N,,
89,1922917B-N,,
90,500203D,,
91,500203-F-Y,,
92,500203-D-Y,,
93,P001832850D,,
94,1832850C,,
95,1832850D,,
96,1739259-G-Y,,
97,1739259-E-Y,,
98,1941494-F-Y,,
99,1941494-C-Y,,
100,1941494-D-Y,,
101,1941494-G-Y,,
102,1941494-H-Y,,
103,2004610B-Y,,
104,P001823176F,,
105,1814971B,,
106,1814971C,,
107,1814971G,,
108,1814971H,,
109,1814971I,,
110,3-maintenance5-P001814971B,,
111,2-P001814971B,,
112,1805427D,,
113,1805427E,,
114,1805427F,,
115,1805427G,,
116,1805427H,,
117,3maintenance2-P001805427B,,
118,1805428F-Y,,
119,1911849B-Y,,
120,1832548A,,
121,1839956B-Y,,
122,1813206C,,
123,1813206F,,
124,1813206G,,
125,1813206H,,
126,1813206I,,
127,3-maintenance1-P001813206B,,
128,1427159G-Y,,
129,P001716341A,,
130,1908223B-Y,,
131,2000957A-Y,,
132,1802840A-Y,,
133,1623931C-Y,,
134,220725D,,
135,P001220725D,,
136,220725B,,
137,220725C,,
138,220725G,,
139,220725I,,
140,220725J,,
141,220725K,,
142,220725L,,
143,220725M,,
144,220725N,,
145,220725O,,
146,224800A,,
147,224800C,,
148,224800D,,
149,224800E,,
150,224800F,,
151,224800H,,
152,224800I,,
153,224800J,,
154,224800K,,
155,224800L,,
156,224800M,,
157,224800N,,
158,224800O,,
159,224800P,,
160,224800Q,,
161,224800R,,
162,224800S,,
163,224800T,,
164,224800U,,
165,224800V,,
166,224800W,,
167,224800X,,
168,224800Y,,
169,3-maintenance6-P001224800K,,
170,2-P001224800L,,
171,227953A,,
172,227953B,,
173,227953C,,
174,227953D,,
175,227953H,,
176,227953I,,
177,P001227953B,,
178,1628757C,,
179,1628757D,,
180,1628757F,,
181,2-P001628757C,,
182,3-maintenance3-P001628757B,,
183,1628757G,,
184,1924942C-Y,,
185,2010277B-Y,,
186,420978-F-Y,,
187,420978-A-Y,,
188,420978-D-Y,,
189,420978G-Y,,
190,1610403-B-Y,,
191,1610403A-Y,,
192,2 1609002G,,
193,1609002I,,
194,1609002A,,
195,1609002B,,
196,1609002D,,
197,1609002E,,
198,1609002F,,
199,1609002H,,
200,1609002J,,
201,1609002K,,
202,1609002L,,
203,1609002M,,
204,1609002N,,
205,1609002O,,
206,1609002P,,
207,1609002P1,,
208,1609002Y,,
209,1610648I-Y,,
210,1612595C,,
211,1631378A-Y,,
212,1805432D,,
213,P001805432A,,
214,1702510F,,
215,2014353A-Y,,
216,1717035D,,
217,3mainttenance7 P001731444E,,
218,1739558A,,
219,1739558C,,
220,1739558D,,
221,1739558E,,
222,1739558F,,
223,1739558G,,
224,1739558H,,
225,3-maintenance9-P001739558B,,
226,1809923A,,
227,1809923B,,
228,3maintenance8 P001809923A,,
229,2-P001809923A,,
230,1922271A-Y,,
231,1828187C,,
232,3mainttenance4-P001828187A,,
233,1828187A,,
234,1828187B,,
235,1828186-B-Y,,
236,1907335B-Y,,
237,1920531A-Y.,,
238,1920532A-Y,,
239,1929771-A-Y,,
240,2008628A-Y,,
241,1950280-D-Y,,
242,1950280-E-Y,,
243,2010717A-Y,,
244,2010109A-Y,,
