,train,val,test
0,13955_0,19694_0,26791_0
1,13957_0,26848_0,13960_0
2,13961_0,18844_0,18853_0
3,13961_1,19693_0,18851_0
4,13963_0,18839_0,18850_0
5,13963_1,26860_0,18850_1
6,13975_0,19677_0,18850_2
7,13980_0,26802_0,13979_0
8,13980_1,26823_0,19700_0
9,13980_2,13962_0,19674_0
10,13983_0,13962_1,13952_0
11,13983_1,19684_0,13952_1
12,13983_2,19667_0,18830_0
13,13983_3,19672_0,19691_0
14,18827_0,19689_0,13969_0
15,18827_1,18842_0,13969_1
16,18827_2,,26804_0
17,18832_0,,26859_0
18,18834_0,,26793_0
19,18837_0,,
20,18846_0,,
21,18849_0,,
22,18849_1,,
23,18849_2,,
24,18852_0,,
25,19668_0,,
26,19676_0,,
27,19680_0,,
28,19692_0,,
29,19697_0,,
30,19699_0,,
31,26787_0,,
32,26790_0,,
33,26792_0,,
34,26794_0,,
35,26797_0,,
36,26798_0,,
37,26799_0,,
38,26800_0,,
39,26801_0,,
40,26803_0,,
41,26806_0,,
42,26807_0,,
43,26809_0,,
44,26810_0,,
45,26811_0,,
46,26813_0,,
47,26814_0,,
48,26815_0,,
49,26816_0,,
50,26817_0,,
51,26819_0,,
52,26820_0,,
53,26821_0,,
54,26822_0,,
55,26824_0,,
56,26825_0,,
57,26826_0,,
58,26828_0,,
59,26829_0,,
60,26831_0,,
61,26832_0,,
62,26833_0,,
63,26835_0,,
64,26837_0,,
65,26838_0,,
66,26839_0,,
67,26841_0,,
68,26843_0,,
69,26844_0,,
70,26845_0,,
71,26846_0,,
72,26847_0,,
73,26849_0,,
74,26850_0,,
75,26851_0,,
76,26852_0,,
77,26853_0,,
78,26854_0,,
79,26855_0,,
80,26857_0,,
81,13953_0,,
82,13953_1,,
83,13954_0,,
84,13958_0,,
85,13958_1,,
86,13958_2,,
87,13958_3,,
88,13959_0,,
89,13964_0,,
90,13965_0,,
91,13965_1,,
92,13965_2,,
93,13966_0,,
94,13971_0,,
95,13972_0,,
96,13972_1,,
97,13973_0,,
98,13973_1,,
99,13973_2,,
100,13974_0,,
101,13974_1,,
102,13976_0,,
103,13977_0,,
104,13977_1,,
105,13977_2,,
106,13978_0,,
107,13978_1,,
108,13981_0,,
109,13981_1,,
110,13982_0,,
111,18829_0,,
112,18831_0,,
113,18833_0,,
114,18835_0,,
115,18836_0,,
116,18836_1,,
117,18838_0,,
118,18840_0,,
119,18840_1,,
120,18840_2,,
121,18840_3,,
122,18840_4,,
123,18840_5,,
124,18841_0,,
125,18841_1,,
126,18841_2,,
127,18843_0,,
128,18843_1,,
129,18845_0,,
130,18847_0,,
131,18847_10,,
132,18847_1,,
133,18847_2,,
134,18847_3,,
135,18847_4,,
136,18847_5,,
137,18847_6,,
138,18847_7,,
139,18847_8,,
140,18847_9,,
141,18848_0,,
142,18848_1,,
143,18848_2,,
144,18848_3,,
145,18848_4,,
146,18848_5,,
147,18848_6,,
148,19669_0,,
149,19671_0,,
150,19675_0,,
151,19678_0,,
152,19681_0,,
153,19685_0,,
154,19686_0,,
155,19690_0,,
156,19695_0,,
157,19696_0,,
158,19698_0,,
159,26788_0,,
160,26789_0,,
161,26795_0,,
162,26796_0,,
163,26805_0,,
164,26808_0,,
165,26812_0,,
166,26834_0,,
167,26842_0,,
168,26858_0,,
